nohup: 忽略输入
Start loading the data....
  - Found cached train data
  - Found cached valid data
  - Found cached test data
Finish loading the data....
406523
Epoch  2 | Batch 720/1016 | Time/Batch(ms) 121.18 | Train Loss 0.8278 | lr  0.001
Epoch  2 | Batch 750/1016 | Time/Batch(ms) 120.94 | Train Loss 0.7958 | lr  0.001
Epoch  2 | Batch 780/1016 | Time/Batch(ms) 126.71 | Train Loss 0.7952 | lr  0.001
Epoch  2 | Batch 810/1016 | Time/Batch(ms) 142.34 | Train Loss 0.7725 | lr  0.001
Epoch  2 | Batch 840/1016 | Time/Batch(ms) 123.94 | Train Loss 0.8905 | lr  0.001
Epoch  2 | Batch 870/1016 | Time/Batch(ms) 122.79 | Train Loss 0.8758 | lr  0.001
Epoch  2 | Batch 900/1016 | Time/Batch(ms) 131.53 | Train Loss 0.7888 | lr  0.001
Epoch  2 | Batch 930/1016 | Time/Batch(ms) 132.39 | Train Loss 0.7817 | lr  0.001
Epoch  2 | Batch 960/1016 | Time/Batch(ms) 133.84 | Train Loss 0.7473 | lr  0.001
Epoch  2 | Batch 990/1016 | Time/Batch(ms) 130.28 | Train Loss 0.7526 | lr  0.001
--------------------------------------------------
Epoch  2 | Time 150.9509 sec | Valid Loss 0.7389 | Test Loss 0.8075 | f1 0.637515376751975 | acc 0.6524861878453039 | mae 0.8075425028800964 | corr 0.2470914716846206 | mult_a7 0.42343312513461123 | mult_a5 0.4238638811113504 | mult_a2 0.6530260607365928
--------------------------------------------------
Epoch  3 | Batch  30/1016 | Time/Batch(ms) 131.04 | Train Loss 0.8906 | lr  0.001
Epoch  3 | Batch  60/1016 | Time/Batch(ms) 135.06 | Train Loss 0.8119 | lr  0.001
Epoch  3 | Batch  90/1016 | Time/Batch(ms) 130.35 | Train Loss 0.7810 | lr  0.001
Epoch  3 | Batch 120/1016 | Time/Batch(ms) 130.19 | Train Loss 0.8014 | lr  0.001
Epoch  3 | Batch 150/1016 | Time/Batch(ms) 131.92 | Train Loss 0.8444 | lr  0.001
Epoch  3 | Batch 180/1016 | Time/Batch(ms) 140.99 | Train Loss 0.7902 | lr  0.001
Epoch  3 | Batch 210/1016 | Time/Batch(ms) 131.40 | Train Loss 0.8031 | lr  0.001
Epoch  3 | Batch 240/1016 | Time/Batch(ms) 130.00 | Train Loss 0.8110 | lr  0.001
Epoch  3 | Batch 270/1016 | Time/Batch(ms) 127.76 | Train Loss 0.7949 | lr  0.001
Epoch  3 | Batch 300/1016 | Time/Batch(ms) 134.58 | Train Loss 0.7724 | lr  0.001
Epoch  3 | Batch 330/1016 | Time/Batch(ms) 127.26 | Train Loss 0.7763 | lr  0.001
Epoch  3 | Batch 360/1016 | Time/Batch(ms) 129.93 | Train Loss 0.7267 | lr  0.001
Epoch  3 | Batch 390/1016 | Time/Batch(ms) 128.06 | Train Loss 0.7866 | lr  0.001
Epoch  3 | Batch 420/1016 | Time/Batch(ms) 140.26 | Train Loss 0.8183 | lr  0.001
Epoch  3 | Batch 450/1016 | Time/Batch(ms) 130.49 | Train Loss 0.7603 | lr  0.001
Epoch  3 | Batch 480/1016 | Time/Batch(ms) 129.42 | Train Loss 0.7731 | lr  0.001
Epoch  3 | Batch 510/1016 | Time/Batch(ms) 131.60 | Train Loss 0.8353 | lr  0.001
Epoch  3 | Batch 540/1016 | Time/Batch(ms) 134.38 | Train Loss 0.7597 | lr  0.001
Epoch  3 | Batch 570/1016 | Time/Batch(ms) 134.42 | Train Loss 0.8054 | lr  0.001
Epoch  3 | Batch 600/1016 | Time/Batch(ms) 137.09 | Train Loss 0.8041 | lr  0.001
Epoch  3 | Batch 630/1016 | Time/Batch(ms) 128.66 | Train Loss 0.8144 | lr  0.001
Epoch  3 | Batch 660/1016 | Time/Batch(ms) 133.03 | Train Loss 0.7880 | lr  0.001
Epoch  3 | Batch 690/1016 | Time/Batch(ms) 139.22 | Train Loss 0.7722 | lr  0.001
Epoch  3 | Batch 720/1016 | Time/Batch(ms) 149.46 | Train Loss 0.7343 | lr  0.001
Epoch  3 | Batch 750/1016 | Time/Batch(ms) 147.58 | Train Loss 0.7671 | lr  0.001
Epoch  3 | Batch 780/1016 | Time/Batch(ms) 136.41 | Train Loss 0.8122 | lr  0.001
Epoch  3 | Batch 810/1016 | Time/Batch(ms) 133.17 | Train Loss 0.8045 | lr  0.001
Epoch  3 | Batch 840/1016 | Time/Batch(ms) 138.51 | Train Loss 0.7613 | lr  0.001
Epoch  3 | Batch 870/1016 | Time/Batch(ms) 143.69 | Train Loss 0.7989 | lr  0.001
Epoch  3 | Batch 900/1016 | Time/Batch(ms) 129.23 | Train Loss 0.8210 | lr  0.001
Epoch  3 | Batch 930/1016 | Time/Batch(ms) 127.20 | Train Loss 0.7469 | lr  0.001
Epoch  3 | Batch 960/1016 | Time/Batch(ms) 128.89 | Train Loss 0.7520 | lr  0.001
Epoch  3 | Batch 990/1016 | Time/Batch(ms) 134.84 | Train Loss 0.7792 | lr  0.001
--------------------------------------------------
Epoch  3 | Time 154.4445 sec | Valid Loss 0.7227 | Test Loss 0.7753 | f1 0.696978190927908 | acc 0.7179558011049724 | mae 0.7752572894096375 | corr 0.41728857126735197 | mult_a7 0.4260176609950463 | mult_a5 0.4329097566228731 | mult_a2 0.6737023476200732
--------------------------------------------------
Epoch  4 | Batch  30/1016 | Time/Batch(ms) 148.86 | Train Loss 0.7538 | lr  0.001
Epoch  4 | Batch  60/1016 | Time/Batch(ms) 134.89 | Train Loss 0.7855 | lr  0.001
Epoch  4 | Batch  90/1016 | Time/Batch(ms) 137.86 | Train Loss 0.7820 | lr  0.001
Epoch  4 | Batch 120/1016 | Time/Batch(ms) 152.96 | Train Loss 0.7905 | lr  0.001
