nohup: 忽略输入
Start loading the data....
  - Found cached train data
  - Found cached valid data
  - Found cached test data
Finish loading the data....
### Note: You are running in unaligned mode.
406523
Epoch  2 | Batch 660/1020 | Time/Batch(ms) 229.98 | Train Loss 0.8339 | lr  0.001
Epoch  2 | Batch 690/1020 | Time/Batch(ms) 230.69 | Train Loss 0.8718 | lr  0.001
Epoch  2 | Batch 720/1020 | Time/Batch(ms) 231.17 | Train Loss 0.7406 | lr  0.001
Epoch  2 | Batch 750/1020 | Time/Batch(ms) 226.28 | Train Loss 0.7788 | lr  0.001
Epoch  2 | Batch 780/1020 | Time/Batch(ms) 224.45 | Train Loss 0.8379 | lr  0.001
Epoch  2 | Batch 810/1020 | Time/Batch(ms) 225.19 | Train Loss 0.8675 | lr  0.001
Epoch  2 | Batch 840/1020 | Time/Batch(ms) 227.33 | Train Loss 0.8150 | lr  0.001
Epoch  2 | Batch 870/1020 | Time/Batch(ms) 229.01 | Train Loss 0.7664 | lr  0.001
Epoch  2 | Batch 900/1020 | Time/Batch(ms) 228.20 | Train Loss 0.7815 | lr  0.001
Epoch  2 | Batch 930/1020 | Time/Batch(ms) 229.56 | Train Loss 0.7946 | lr  0.001
Epoch  2 | Batch 960/1020 | Time/Batch(ms) 229.81 | Train Loss 0.8054 | lr  0.001
Epoch  2 | Batch 990/1020 | Time/Batch(ms) 227.66 | Train Loss 0.8175 | lr  0.001
Epoch  2 | Batch 1020/1020 | Time/Batch(ms) 226.20 | Train Loss 0.7994 | lr  0.001
--------------------------------------------------
Epoch  2 | Time 273.5494 sec | Valid Loss 0.7470 | Test Loss 0.8068 | f1 0.5154970752028019 | acc 0.6353880022014309 | mae 0.8067653179168701 | corr 0.2462009665561055 | mult_a7 0.4170422837518781 | mult_a5 0.4170422837518781 | mult_a2 0.6507834299205838
--------------------------------------------------
Epoch  3 | Batch  30/1020 | Time/Batch(ms) 237.81 | Train Loss 0.7938 | lr  0.001
Epoch  3 | Batch  60/1020 | Time/Batch(ms) 227.62 | Train Loss 0.8823 | lr  0.001
Epoch  3 | Batch  90/1020 | Time/Batch(ms) 230.19 | Train Loss 0.8332 | lr  0.001
Epoch  3 | Batch 120/1020 | Time/Batch(ms) 228.90 | Train Loss 0.8035 | lr  0.001
Epoch  3 | Batch 150/1020 | Time/Batch(ms) 227.10 | Train Loss 0.7860 | lr  0.001
Epoch  3 | Batch 180/1020 | Time/Batch(ms) 231.12 | Train Loss 0.8080 | lr  0.001
Epoch  3 | Batch 210/1020 | Time/Batch(ms) 229.94 | Train Loss 0.8118 | lr  0.001
Epoch  3 | Batch 240/1020 | Time/Batch(ms) 229.05 | Train Loss 0.7710 | lr  0.001
Epoch  3 | Batch 270/1020 | Time/Batch(ms) 226.42 | Train Loss 0.8236 | lr  0.001
Epoch  3 | Batch 300/1020 | Time/Batch(ms) 225.65 | Train Loss 0.7704 | lr  0.001
Epoch  3 | Batch 330/1020 | Time/Batch(ms) 233.57 | Train Loss 0.8677 | lr  0.001
